x,y,R,G,B
649,15,48,50,52
257,212,66,48,72
894,131,48,48,51
51,271,33,29,32
1022,365,47,46,52
702,128,46,47,50
48,395,44,43,46
729,462,147,138,148
676,80,49,47,50
525,114,45,43,47
903,90,48,48,51
720,443,47,45,49
327,4,78,71,69
301,36,48,51,55
485,202,33,27,32
541,145,43,44,46
507,362,43,44,46
563,107,46,45,48
43,360,45,41,45
97,276,38,33,32
759,354,46,47,45
985,448,51,48,51
1045,306,168,173,200
153,269,214,211,234
1147,122,233,232,248
984,41,103,78,61
436,444,43,40,47
514,397,39,43,43
614,494,126,124,113
1151,13,235,232,250
131,369,42,42,41
349,436,98,92,64
339,411,45,42,47
335,215,198,196,217
1095,253,241,239,255
753,322,44,47,48
1192,80,238,237,255
274,203,185,185,201
696,385,45,46,48
113,163,134,124,146
470,270,55,56,65
502,109,43,46,52
282,381,45,44,47
1085,319,250,247,255
995,451,49,51,53
625,360,46,44,45
996,111,49,47,52
557,299,45,45,46
56,26,118,112,130
678,159,46,48,51
780,482,156,156,168
15,151,168,28,37
178,6,152,31,47
232,16,180,167,192
1049,319,49,50,52
50,292,38,34,33
727,424,40,43,48
213,137,34,30,33
22,145,162,24,34
1195,13,237,236,255
122,329,38,33,38
420,277,48,48,53
720,293,43,44,49
197,239,196,193,213
1023,178,47,46,53
994,222,50,48,54
607,19,50,49,52
1057,397,50,47,54
304,319,39,41,47
253,462,92,81,55
241,270,206,204,227
1078,222,246,245,254
766,186,48,48,51
714,448,41,45,43
431,144,42,43,46
714,216,64,57,65
453,397,125,125,141
856,83,48,48,52
361,197,197,198,220
284,244,191,191,210
499,467,171,166,168
857,429,45,47,51
310,210,191,190,206
568,60,46,48,47
587,301,45,43,48
222,423,48,46,49
103,100,157,29,36
1049,27,103,81,64
20,359,44,41,46
960,250,46,46,53
762,32,50,49,55
407,477,68,58,59
926,337,45,43,50
183,264,206,204,227
129,201,210,205,227
402,1,41,28,35
586,442,187,184,202
439,420,73,70,78
141,494,44,48,50
980,310,47,46,49
299,190,187,186,205
1070,201,49,52,55
139,372,39,44,46
339,290,45,43,47
902,123,47,46,50
1117,151,232,230,249
975,213,47,46,52
120,155,203,197,218
1007,356,45,48,52
415,429,45,46,44
990,435,46,47,50
151,115,33,26,31
586,426,42,43,45
1164,349,236,233,251
203,16,177,118,140
1055,265,51,49,54
892,297,51,47,52
38,435,49,48,52
183,368,43,45,48
108,319,38,34,37
933,204,46,46,52
931,418,47,46,51
353,275,46,46,48
824,71,46,48,49
1004,135,46,47,52
330,424,45,44,46
925,351,47,48,50
217,119,37,36,38
232,56,201,202,221
398,397,42,44,47
343,346,41,45,48
560,116,43,42,46
1181,429,234,231,247
350,83,27,25,24
670,97,44,45,49
916,80,50,47,51
185,328,39,42,45
889,229,236,234,255
274,279,43,43,45
359,69,34,22,25
820,14,76,74,67
754,338,44,45,49
877,74,45,48,53
155,150,153,153,166
418,350,43,43,47
730,193,240,237,255
652,372,40,45,49
470,424,43,46,47
920,23,218,152,93
4,382,43,44,47
1140,476,229,228,243
163,171,197,193,219
43,174,171,29,36
1092,448,238,237,255
996,336,48,48,54
748,417,45,43,46
57,157,164,29,38
882,430,49,48,49
390,91,37,34,35
1124,70,227,226,238
758,254,241,239,255
455,205,226,225,248
1028,419,49,49,53
254,489,82,74,54
265,252,198,194,215
1004,99,49,48,51
580,249,234,234,255
1173,197,239,235,251
1183,477,239,234,248
214,247,200,195,216
691,32,52,51,53
50,396,43,46,45
